"","day","date","daily","line","type","number"
"2650","Monday",2011-01-03,4974,"orange","Average",2064.5
"2651","Tuesday",2011-01-04,4265,"orange","Average",1738
"2652","Wednesday",2011-01-05,4408.5,"orange","Average",1793.5
"2653","Thursday",2011-01-06,4563.5,"orange","Average",2002.5
"2654","Friday",2011-01-07,5008,"orange","Average",1915.5
"2655","Saturday",2011-01-08,3432.5,"orange","Average",1444
"2656","Sunday",2011-01-09,2276.5,"orange","Average",992
"2657","Monday",2011-01-10,4909,"orange","Average",2025
"2658","Tuesday",2011-01-11,4624,"orange","Average",1910.5
"2659","Wednesday",2011-01-12,4102,"orange","Average",1672.5
"2660","Thursday",2011-01-13,4691.5,"orange","Average",2034.5
"2661","Friday",2011-01-14,5980.5,"orange","Average",2468.5
"2662","Saturday",2011-01-15,3450,"orange","Average",1381.5
"2663","Sunday",2011-01-16,2678,"orange","Average",1072
"2664","Monday",2011-01-17,3423.5,"orange","Average",1417
"2665","Tuesday",2011-01-18,3306,"orange","Average",1276.5
"2666","Wednesday",2011-01-19,4877,"orange","Average",1860
"2667","Thursday",2011-01-20,4246.5,"orange","Average",2127
"2668","Friday",2011-01-21,5096,"orange","Average",2204.5
"2669","Saturday",2011-01-22,3682,"orange","Average",1733
"2670","Sunday",2011-01-23,2228,"orange","Average",839.5
"2671","Monday",2011-01-24,4204.5,"orange","Average",1788
"2672","Tuesday",2011-01-25,4428,"orange","Average",1967
"2673","Wednesday",2011-01-26,2959.5,"orange","Average",1262.5
"2674","Thursday",2011-01-27,2295,"orange","Average",902.5
"2675","Friday",2011-01-28,4314,"orange","Average",1831
"2676","Saturday",2011-01-29,3260,"orange","Average",1390
"2677","Sunday",2011-01-30,2243.5,"orange","Average",1000
"2678","Monday",2011-01-31,3876.5,"orange","Average",1436.5
"2679","Tuesday",2011-02-01,3522,"orange","Average",1347
"2680","Wednesday",2011-02-02,3815,"orange","Average",1553
"2681","Thursday",2011-02-03,3745.5,"orange","Average",1535.5
"2682","Friday",2011-02-04,3699,"orange","Average",1591
"2683","Saturday",2011-02-05,2909.5,"orange","Average",1225
"2684","Sunday",2011-02-06,2288,"orange","Average",920
"2685","Monday",2011-02-07,3201.5,"orange","Average",1499.5
"2686","Tuesday",2011-02-08,3215,"orange","Average",1281.5
"2687","Wednesday",2011-02-09,3644,"orange","Average",1551
"2688","Thursday",2011-02-10,3984.5,"orange","Average",1698
"2689","Friday",2011-02-11,5366,"orange","Average",2261
"2690","Saturday",2011-02-12,4468.5,"orange","Average",1768.5
"2691","Sunday",2011-02-13,2916,"orange","Average",1290
"2692","Monday",2011-02-14,4645.5,"orange","Average",2165
"2693","Tuesday",2011-02-15,4470.5,"orange","Average",1610.5
"2694","Wednesday",2011-02-16,4961,"orange","Average",2253
"2695","Thursday",2011-02-17,5662,"orange","Average",2303.5
"2696","Friday",2011-02-18,7375.5,"orange","Average",2852
"2697","Saturday",2011-02-19,4624,"orange","Average",1884.5
"2698","Sunday",2011-02-20,3568.5,"orange","Average",1642
"2699","Monday",2011-02-21,4067.5,"orange","Average",1827
"2700","Tuesday",2011-02-22,3989.5,"orange","Average",1780
"2701","Wednesday",2011-02-23,5413.5,"orange","Average",2098
"2702","Thursday",2011-02-24,5368.5,"orange","Average",2006.5
"2703","Friday",2011-02-25,6149.5,"orange","Average",2165
"2704","Saturday",2011-02-26,5826.5,"orange","Average",2497.5
"2705","Sunday",2011-02-27,3974.5,"orange","Average",1778
"2706","Monday",2011-02-28,5420,"orange","Average",2184
"2707","Tuesday",2011-03-01,5875.5,"orange","Average",2560
"2708","Wednesday",2011-03-02,5850,"orange","Average",2323.5
"2709","Thursday",2011-03-03,6076,"orange","Average",2543
"2710","Friday",2011-03-04,7550,"orange","Average",3063.5
"2711","Saturday",2011-03-05,5648.5,"orange","Average",2374.5
"2712","Sunday",2011-03-06,3285.5,"orange","Average",1389
"2713","Monday",2011-03-07,6312,"orange","Average",2682.5
"2714","Tuesday",2011-03-08,6945,"orange","Average",2896.5
"2715","Wednesday",2011-03-09,6418,"orange","Average",2476.5
"2716","Thursday",2011-03-10,4930,"orange","Average",1840
"2717","Friday",2011-03-11,7698.5,"orange","Average",3169
"2718","Saturday",2011-03-12,6436.5,"orange","Average",2741
"2719","Sunday",2011-03-13,2805,"orange","Average",1216
"2720","Monday",2011-03-14,6171,"orange","Average",2653.5
"2721","Tuesday",2011-03-15,6400,"orange","Average",2656.5
"2722","Wednesday",2011-03-16,6198.5,"orange","Average",2473
"2723","Thursday",2011-03-17,6430,"orange","Average",2681.5
"2724","Friday",2011-03-18,7831,"orange","Average",3215.5
"2725","Saturday",2011-03-19,6102.5,"orange","Average",2687
"2726","Sunday",2011-03-20,3560,"orange","Average",1654.5
"2727","Monday",2011-03-21,5801,"orange","Average",2446.5
"2728","Tuesday",2011-03-22,6333,"orange","Average",2635.5
"2729","Wednesday",2011-03-23,6071.5,"orange","Average",2557.5
"2730","Thursday",2011-03-24,6425.5,"orange","Average",2763
"2731","Friday",2011-03-25,8192,"orange","Average",3314.5
"2732","Saturday",2011-03-26,6277,"orange","Average",2777
"2733","Sunday",2011-03-27,3941.5,"orange","Average",1793.5
"2734","Monday",2011-03-28,6710,"orange","Average",2819.5
"2735","Tuesday",2011-03-29,7174,"orange","Average",3093.5
"2736","Wednesday",2011-03-30,6553.5,"orange","Average",2730.5
"2737","Thursday",2011-03-31,6405.5,"orange","Average",2888
"2738","Friday",2011-04-01,8081,"orange","Average",3525
"2739","Saturday",2011-04-02,6202.5,"orange","Average",2798.5
"2740","Sunday",2011-04-03,4294,"orange","Average",1879.5
"2741","Monday",2011-04-04,7899.5,"orange","Average",3396
"2742","Tuesday",2011-04-05,6360.5,"orange","Average",2667.5
"2743","Wednesday",2011-04-06,6964,"orange","Average",2851.5
"2744","Thursday",2011-04-07,7266,"orange","Average",2954.5
"2745","Friday",2011-04-08,6947,"orange","Average",2949.5
"2746","Saturday",2011-04-09,6157,"orange","Average",2599
"2747","Sunday",2011-04-10,4235.5,"orange","Average",1849.5
"2748","Monday",2011-04-11,7356.5,"orange","Average",3201.5
"2749","Tuesday",2011-04-12,6650.5,"orange","Average",2612.5
"2750","Wednesday",2011-04-13,6507.5,"orange","Average",2763.5
"2751","Thursday",2011-04-14,7068,"orange","Average",2889.5
"2752","Friday",2011-04-15,8643,"orange","Average",3487.5
"2753","Saturday",2011-04-16,3280.5,"orange","Average",1350.5
"2754","Sunday",2011-04-17,4932,"orange","Average",2024.5
"2755","Monday",2011-04-18,6649.5,"orange","Average",2765.5
"2756","Tuesday",2011-04-19,6855.5,"orange","Average",2908
"2757","Wednesday",2011-04-20,7641.5,"orange","Average",3200.5
"2758","Thursday",2011-04-21,6764.5,"orange","Average",3020
"2759","Friday",2011-04-22,8070,"orange","Average",3375.5
"2760","Saturday",2011-04-23,6351,"orange","Average",2804.5
"2761","Sunday",2011-04-24,0,"orange","Average",NA
"2762","Monday",2011-04-25,7015,"orange","Average",3137.5
"2763","Tuesday",2011-04-26,7337.5,"orange","Average",3294.5
"2764","Wednesday",2011-04-27,7291,"orange","Average",3265
"2765","Thursday",2011-04-28,7488.5,"orange","Average",3013
"2766","Friday",2011-04-29,8691,"orange","Average",3326.5
"2767","Saturday",2011-04-30,6773,"orange","Average",2859
"2768","Sunday",2011-05-01,3786.5,"orange","Average",1552
"2769","Monday",2011-05-02,7350,"orange","Average",2967.5
"2770","Tuesday",2011-05-03,7791,"orange","Average",3155
"2771","Wednesday",2011-05-04,6864,"orange","Average",2643.5
"2772","Thursday",2011-05-05,8089,"orange","Average",3450
"2773","Friday",2011-05-06,8339.5,"orange","Average",3698.5
"2774","Saturday",2011-05-07,6968,"orange","Average",3028
"2775","Sunday",2011-05-08,3711.5,"orange","Average",1527
"2776","Monday",2011-05-09,7133.5,"orange","Average",2914
"2777","Tuesday",2011-05-10,7426,"orange","Average",3283.5
"2778","Wednesday",2011-05-11,8200.5,"orange","Average",3389
"2779","Thursday",2011-05-12,7923,"orange","Average",3336
"2780","Friday",2011-05-13,8587,"orange","Average",3630.5
"2781","Saturday",2011-05-14,5895.5,"orange","Average",2439.5
"2782","Sunday",2011-05-15,4934.5,"orange","Average",2098.5
"2783","Monday",2011-05-16,8345.5,"orange","Average",3449.5
"2784","Tuesday",2011-05-17,7776.5,"orange","Average",3150
"2785","Wednesday",2011-05-18,7982.5,"orange","Average",3303.5
"2786","Thursday",2011-05-19,8272.5,"orange","Average",3470
"2787","Friday",2011-05-20,9347.5,"orange","Average",3864.5
"2788","Saturday",2011-05-21,7006.5,"orange","Average",2992.5
"2789","Sunday",2011-05-22,4783.5,"orange","Average",2032.5
"2790","Monday",2011-05-23,8317.5,"orange","Average",3356
"2791","Tuesday",2011-05-24,8440,"orange","Average",3422
"2792","Wednesday",2011-05-25,8744,"orange","Average",3538.5
"2793","Thursday",2011-05-26,8410.5,"orange","Average",3402.5
"2794","Friday",2011-05-27,9696,"orange","Average",3862.5
"2795","Saturday",2011-05-28,7320.5,"orange","Average",3347.5
"2796","Sunday",2011-05-29,5902.5,"orange","Average",2837.5
"2797","Monday",2011-05-30,5720.5,"orange","Average",2704
"2798","Tuesday",2011-05-31,7736.5,"orange","Average",3138.5
"2799","Wednesday",2011-06-01,8337,"orange","Average",3287.5
"2800","Thursday",2011-06-02,8346.5,"orange","Average",3275
"2801","Friday",2011-06-03,9146.5,"orange","Average",3917.5
"2802","Saturday",2011-06-04,6675,"orange","Average",3046
"2803","Sunday",2011-06-05,4871,"orange","Average",2028.5
"2804","Monday",2011-06-06,7889.5,"orange","Average",3359.5
"2805","Tuesday",2011-06-07,8216,"orange","Average",3513
"2806","Wednesday",2011-06-08,8009.5,"orange","Average",3567.5
"2807","Thursday",2011-06-09,7873.5,"orange","Average",3107
"2808","Friday",2011-06-10,9212.5,"orange","Average",3819
"2809","Saturday",2011-06-11,6992,"orange","Average",3247
"2810","Sunday",2011-06-12,4590,"orange","Average",2026.5
"2811","Monday",2011-06-13,8213,"orange","Average",3685
"2812","Tuesday",2011-06-14,7889,"orange","Average",3413.5
"2813","Wednesday",2011-06-15,8308,"orange","Average",3800.5
"2814","Thursday",2011-06-16,7851.5,"orange","Average",3410
"2815","Friday",2011-06-17,9684.5,"orange","Average",4220
"2816","Saturday",2011-06-18,2807.5,"orange","Average",1603.5
"2817","Sunday",2011-06-19,4664.5,"orange","Average",2092
"2818","Monday",2011-06-20,7578,"orange","Average",3419
"2819","Tuesday",2011-06-21,8139.5,"orange","Average",3609.5
"2820","Wednesday",2011-06-22,8991,"orange","Average",4139.5
"2821","Thursday",2011-06-23,8398,"orange","Average",3733
"2822","Friday",2011-06-24,9814,"orange","Average",4485
"2823","Saturday",2011-06-25,8096,"orange","Average",3779.5
"2824","Sunday",2011-06-26,5724.5,"orange","Average",2923
"2825","Monday",2011-06-27,8067.5,"orange","Average",3572.5
"2826","Tuesday",2011-06-28,9013.5,"orange","Average",4138
"2827","Wednesday",2011-06-29,9069,"orange","Average",4121
"2828","Thursday",2011-06-30,8670.5,"orange","Average",4010.5
"2829","Friday",2011-07-01,9807.5,"orange","Average",4453.5
"2830","Saturday",2011-07-02,7970.5,"orange","Average",3859.5
"2831","Sunday",2011-07-03,5657.5,"orange","Average",2451
"2832","Monday",2011-07-04,7099.5,"orange","Average",3157.5
"2833","Tuesday",2011-07-05,8210,"orange","Average",3559.5
"2834","Wednesday",2011-07-06,8609,"orange","Average",3781
"2835","Thursday",2011-07-07,8368,"orange","Average",3485.5
"2836","Friday",2011-07-08,9327,"orange","Average",4012
"2837","Saturday",2011-07-09,7578.5,"orange","Average",3283
"2838","Sunday",2011-07-10,5012.5,"orange","Average",2011
"2839","Monday",2011-07-11,7997,"orange","Average",3655
"2840","Tuesday",2011-07-12,8133,"orange","Average",3865
"2841","Wednesday",2011-07-13,8030,"orange","Average",3681
"2842","Thursday",2011-07-14,8781,"orange","Average",4156.5
"2843","Friday",2011-07-15,10998,"orange","Average",4705
"2844","Saturday",2011-07-16,12246,"orange","Average",4624
"2845","Sunday",2011-07-17,7960.5,"orange","Average",2830
"2846","Monday",2011-07-18,9280,"orange","Average",4200.5
"2847","Tuesday",2011-07-19,9499.5,"orange","Average",4340
"2848","Wednesday",2011-07-20,9488,"orange","Average",4363
"2849","Thursday",2011-07-21,8996,"orange","Average",4151
"2850","Friday",2011-07-22,9636,"orange","Average",4459.5
"2851","Saturday",2011-07-23,7570,"orange","Average",3453
"2852","Sunday",2011-07-24,5678,"orange","Average",2310
"2853","Monday",2011-07-25,7524,"orange","Average",3136
"2854","Tuesday",2011-07-26,8894,"orange","Average",3886
"2855","Wednesday",2011-07-27,8810.5,"orange","Average",3997.5
"2856","Thursday",2011-07-28,9425,"orange","Average",4051
"2857","Friday",2011-07-29,10013,"orange","Average",4490.5
"2858","Saturday",2011-07-30,8802,"orange","Average",3670
"2859","Sunday",2011-07-31,6237,"orange","Average",2657
"2860","Monday",2011-08-01,8161.5,"orange","Average",3379
"2861","Tuesday",2011-08-02,8828,"orange","Average",4063
"2862","Wednesday",2011-08-03,8596,"orange","Average",3829.5
"2863","Thursday",2011-08-04,8680.5,"orange","Average",3716.5
"2864","Friday",2011-08-05,10931.5,"orange","Average",4949
"2865","Saturday",2011-08-06,7531.5,"orange","Average",3469.5
"2866","Sunday",2011-08-07,5320,"orange","Average",2355
"2867","Monday",2011-08-08,9095.5,"orange","Average",3868
"2868","Tuesday",2011-08-09,8782.5,"orange","Average",3838.5
"2869","Wednesday",2011-08-10,9335.5,"orange","Average",4260.5
"2870","Thursday",2011-08-11,8765.5,"orange","Average",3765.5
"2871","Friday",2011-08-12,10315,"orange","Average",4605
"2872","Saturday",2011-08-13,6839,"orange","Average",3176.5
"2873","Sunday",2011-08-14,4678,"orange","Average",2061.5
"2874","Monday",2011-08-15,7663,"orange","Average",3232
"2875","Tuesday",2011-08-16,9132.5,"orange","Average",3913.5
"2876","Wednesday",2011-08-17,8814,"orange","Average",3807
"2877","Thursday",2011-08-18,8659,"orange","Average",3690
"2878","Friday",2011-08-19,10487,"orange","Average",4577
"2879","Saturday",2011-08-20,8236.5,"orange","Average",3754
"2880","Sunday",2011-08-21,4229.5,"orange","Average",1630.5
"2881","Monday",2011-08-22,9437.5,"orange","Average",4108
"2882","Tuesday",2011-08-23,8822.5,"orange","Average",3825
"2883","Wednesday",2011-08-24,9179.5,"orange","Average",3985.5
"2884","Thursday",2011-08-25,8881,"orange","Average",3809
"2885","Friday",2011-08-26,11201.5,"orange","Average",5028
"2886","Saturday",2011-08-27,2952,"orange","Average",1389.5
"2887","Sunday",2011-08-28,3231,"orange","Average",1321
"2888","Monday",2011-08-29,9495,"orange","Average",4166
"2889","Tuesday",2011-08-30,9279,"orange","Average",4161
"2890","Wednesday",2011-08-31,9289.5,"orange","Average",4067
"2891","Thursday",2011-09-01,7005.5,"orange","Average",2879
"2892","Friday",2011-09-02,7223,"orange","Average",2724
"2893","Saturday",2011-09-03,7304,"orange","Average",2655
"2894","Sunday",2011-09-04,6036.5,"orange","Average",1955
"2895","Monday",2011-09-05,4346.5,"orange","Average",1868.5
"2896","Tuesday",2011-09-06,7499,"orange","Average",2948.5
"2897","Wednesday",2011-09-07,7714.5,"orange","Average",3183
"2898","Thursday",2011-09-08,8163,"orange","Average",3400.5
"2899","Friday",2011-09-09,10101.5,"orange","Average",4099
"2900","Saturday",2011-09-10,7174,"orange","Average",2970
"2901","Sunday",2011-09-11,4856,"orange","Average",2009.5
"2902","Monday",2011-09-12,9211,"orange","Average",3922.5
"2903","Tuesday",2011-09-13,9095.5,"orange","Average",4060.5
"2904","Wednesday",2011-09-14,9591.5,"orange","Average",3995
"2905","Thursday",2011-09-15,8938,"orange","Average",3781.5
"2906","Friday",2011-09-16,10807.5,"orange","Average",4558.5
"2907","Saturday",2011-09-17,7806.5,"orange","Average",3013.5
"2908","Sunday",2011-09-18,5540,"orange","Average",2252
"2909","Monday",2011-09-19,9064,"orange","Average",3857
"2910","Tuesday",2011-09-20,9171.5,"orange","Average",3772.5
"2911","Wednesday",2011-09-21,9409,"orange","Average",4023.5
"2912","Thursday",2011-09-22,9292.5,"orange","Average",3992.5
"2913","Friday",2011-09-23,8285.5,"orange","Average",3508
"2914","Saturday",2011-09-24,7992,"orange","Average",3490.5
"2915","Sunday",2011-09-25,5521.5,"orange","Average",2341
"2916","Monday",2011-09-26,10004.5,"orange","Average",4393.5
"2917","Tuesday",2011-09-27,9624.5,"orange","Average",4087
"2918","Wednesday",2011-09-28,9625,"orange","Average",4199.5
"2919","Thursday",2011-09-29,9501,"orange","Average",4075
"2920","Friday",2011-09-30,10908,"orange","Average",4464
"2921","Saturday",2011-10-01,8842,"orange","Average",4079
"2922","Sunday",2011-10-02,6207.5,"orange","Average",2764.5
"2923","Monday",2011-10-03,9737.5,"orange","Average",4258.5
"2924","Tuesday",2011-10-04,8936,"orange","Average",3600.5
"2925","Wednesday",2011-10-05,9970,"orange","Average",4199
"2926","Thursday",2011-10-06,9641,"orange","Average",4007.5
"2927","Friday",2011-10-07,11129,"orange","Average",4382
"2928","Saturday",2011-10-08,8312.5,"orange","Average",3485
"2929","Sunday",2011-10-09,5410.5,"orange","Average",2087
"2930","Monday",2011-10-10,8012,"orange","Average",3571
"2931","Tuesday",2011-10-11,9594,"orange","Average",4226
"2932","Wednesday",2011-10-12,8797,"orange","Average",3654.5
"2933","Thursday",2011-10-13,8469,"orange","Average",3515.5
"2934","Friday",2011-10-14,10031.5,"orange","Average",4389
"2935","Saturday",2011-10-15,6150,"orange","Average",2436.5
"2936","Sunday",2011-10-16,5786,"orange","Average",2312
"2937","Monday",2011-10-17,9337.5,"orange","Average",3981.5
"2938","Tuesday",2011-10-18,9455,"orange","Average",3904
"2939","Wednesday",2011-10-19,6203,"orange","Average",3065.5
"2940","Thursday",2011-10-20,4836,"orange","Average",2811.5
"2941","Friday",2011-10-21,10682,"orange","Average",4622.5
"2942","Saturday",2011-10-22,7800,"orange","Average",3363
"2943","Sunday",2011-10-23,4972,"orange","Average",2080
"2944","Monday",2011-10-24,9279,"orange","Average",3815
"2945","Tuesday",2011-10-25,9710.5,"orange","Average",4109
"2946","Wednesday",2011-10-26,9193,"orange","Average",3876
"2947","Thursday",2011-10-27,9163.5,"orange","Average",3888
"2948","Friday",2011-10-28,10876,"orange","Average",4736
"2949","Saturday",2011-10-29,5469,"orange","Average",2423
"2950","Sunday",2011-10-30,5137,"orange","Average",2196
"2951","Monday",2011-10-31,9675,"orange","Average",4178.5
"2952","Tuesday",2011-11-01,8873,"orange","Average",3962
"2953","Wednesday",2011-11-02,10368.5,"orange","Average",3816.5
"2954","Thursday",2011-11-03,10652.5,"orange","Average",3906
"2955","Friday",2011-11-04,11998,"orange","Average",4546.5
"2956","Saturday",2011-11-05,8640,"orange","Average",3578.5
"2957","Sunday",2011-11-06,6105,"orange","Average",2096.5
"2958","Monday",2011-11-07,10502,"orange","Average",4000
"2959","Tuesday",2011-11-08,10454.5,"orange","Average",4288
"2960","Wednesday",2011-11-09,10675.5,"orange","Average",3979.5
"2961","Thursday",2011-11-10,9931,"orange","Average",3718.5
"2962","Friday",2011-11-11,11918,"orange","Average",4391
"2963","Saturday",2011-11-12,9128.5,"orange","Average",3663
"2964","Sunday",2011-11-13,5829.5,"orange","Average",2173
"2965","Monday",2011-11-14,9002.5,"orange","Average",3435.5
"2966","Tuesday",2011-11-15,10058,"orange","Average",3724
"2967","Wednesday",2011-11-16,10121.5,"orange","Average",3618.5
"2968","Thursday",2011-11-17,10775,"orange","Average",4037
"2969","Friday",2011-11-18,12033.5,"orange","Average",4697.5
"2970","Saturday",2011-11-19,8962,"orange","Average",3486.5
"2971","Sunday",2011-11-20,5854,"orange","Average",2152.5
"2972","Monday",2011-11-21,9857,"orange","Average",3591.5
"2973","Tuesday",2011-11-22,9130,"orange","Average",3391.5
"2974","Wednesday",2011-11-23,10289.5,"orange","Average",4061
"2975","Thursday",2011-11-24,1280,"orange","Average",525.5
"2976","Friday",2011-11-25,8760.5,"orange","Average",3680
"2977","Saturday",2011-11-26,7455,"orange","Average",3028.5
"2978","Sunday",2011-11-27,5425.5,"orange","Average",2182
"2979","Monday",2011-11-28,9733.5,"orange","Average",3822.5
"2980","Tuesday",2011-11-29,9287,"orange","Average",3347.5
"2981","Wednesday",2011-11-30,10557,"orange","Average",3832
"2982","Thursday",2011-12-01,11149.5,"orange","Average",3811
"2983","Friday",2011-12-02,12721.5,"orange","Average",4596.5
"2984","Saturday",2011-12-03,9746,"orange","Average",3778.5
"2985","Sunday",2011-12-04,6825,"orange","Average",2691.5
"2986","Monday",2011-12-05,10369,"orange","Average",3692.5
"2987","Tuesday",2011-12-06,10038,"orange","Average",3680.5
"2988","Wednesday",2011-12-07,9593.5,"orange","Average",3337.5
"2989","Thursday",2011-12-08,10329.5,"orange","Average",3585
"2990","Friday",2011-12-09,12596,"orange","Average",4653.5
"2991","Saturday",2011-12-10,8827.5,"orange","Average",3151.5
"2992","Sunday",2011-12-11,5501.5,"orange","Average",2113
"2993","Monday",2011-12-12,10359,"orange","Average",4037.5
"2994","Tuesday",2011-12-13,10433.5,"orange","Average",3917.5
"2995","Wednesday",2011-12-14,10697,"orange","Average",3888.5
"2996","Thursday",2011-12-15,10797.5,"orange","Average",3784
"2997","Friday",2011-12-16,12561.5,"orange","Average",4473
"2998","Saturday",2011-12-17,8400,"orange","Average",3051
"2999","Sunday",2011-12-18,5308.5,"orange","Average",1926.5
"3000","Monday",2011-12-19,10649,"orange","Average",3872.5
"3001","Tuesday",2011-12-20,10799.5,"orange","Average",4168.5
"3002","Wednesday",2011-12-21,10396,"orange","Average",3894
"3003","Thursday",2011-12-22,10432.5,"orange","Average",3941.5
"3004","Friday",2011-12-23,10160.5,"orange","Average",4158
"3005","Saturday",2011-12-24,4561.5,"orange","Average",1921.5
"3006","Sunday",2011-12-25,0,"orange","Average",NA
"3007","Monday",2011-12-26,6689.5,"orange","Average",2712.5
"3008","Tuesday",2011-12-27,7886.5,"orange","Average",3201.5
"3009","Wednesday",2011-12-28,9804.5,"orange","Average",3924.5
"3010","Thursday",2011-12-29,9223.5,"orange","Average",3717
"3011","Friday",2011-12-30,10709,"orange","Average",4364
"3012","Saturday",2011-12-31,8711.5,"orange","Average",3661
"3013","Sunday",2012-01-01,3939.5,"orange","Average",1502.5
"3014","Monday",2012-01-02,7262,"orange","Average",3051.5
"3015","Tuesday",2012-01-03,9765.5,"orange","Average",3397
"3016","Wednesday",2012-01-04,9525.5,"orange","Average",3317.5
"3017","Thursday",2012-01-05,10035.5,"orange","Average",3556.5
"3018","Friday",2012-01-06,12341,"orange","Average",4548
"3019","Saturday",2012-01-07,8454,"orange","Average",3140.5
"3020","Sunday",2012-01-08,5101.5,"orange","Average",1936.5
"3021","Monday",2012-01-09,10614.5,"orange","Average",3837.5
"3022","Tuesday",2012-01-10,10795,"orange","Average",3851
"3023","Wednesday",2012-01-11,10743.5,"orange","Average",3969
"3024","Thursday",2012-01-12,10769.5,"orange","Average",3818.5
"3025","Friday",2012-01-13,11940.5,"orange","Average",4541
"3026","Saturday",2012-01-14,8205,"orange","Average",3228.5
"3027","Sunday",2012-01-15,6347.5,"orange","Average",2462
"3028","Monday",2012-01-16,7516,"orange","Average",2922.5
"3029","Tuesday",2012-01-17,11000.5,"orange","Average",3995
"3030","Wednesday",2012-01-18,11444,"orange","Average",4232
"3031","Thursday",2012-01-19,11427.5,"orange","Average",4351.5
"3032","Friday",2012-01-20,13090,"orange","Average",4998.5
"3033","Saturday",2012-01-21,7569.5,"orange","Average",2792
"3034","Sunday",2012-01-22,5308.5,"orange","Average",1928.5
"3035","Monday",2012-01-23,7252.5,"orange","Average",3706.5
"3036","Tuesday",2012-01-24,11849,"orange","Average",4453.5
"3037","Wednesday",2012-01-25,11987.5,"orange","Average",4375.5
"3038","Thursday",2012-01-26,11132,"orange","Average",4181
"3039","Friday",2012-01-27,13243.5,"orange","Average",5167
"3040","Saturday",2012-01-28,10497,"orange","Average",3960
"3041","Sunday",2012-01-29,6716,"orange","Average",2525.5
"3042","Monday",2012-01-30,11658,"orange","Average",4388.5
"3043","Tuesday",2012-01-31,11976.5,"orange","Average",4565.5
"3044","Wednesday",2012-02-01,12130.5,"orange","Average",4443.5
"3045","Thursday",2012-02-02,11424,"orange","Average",4121
"3046","Friday",2012-02-03,13753,"orange","Average",5027.5
"3047","Saturday",2012-02-04,8665.5,"orange","Average",3305
"3048","Sunday",2012-02-05,5851,"orange","Average",2185.5
"3049","Monday",2012-02-06,10900,"orange","Average",4197
"3050","Tuesday",2012-02-07,11304,"orange","Average",4016.5
"3051","Wednesday",2012-02-08,11349,"orange","Average",4185.5
"3052","Thursday",2012-02-09,11697,"orange","Average",4361.5
"3053","Friday",2012-02-10,13887,"orange","Average",5023.5
"3054","Saturday",2012-02-11,9343.5,"orange","Average",3413.5
"3055","Sunday",2012-02-12,5924.5,"orange","Average",2300.5
"3056","Monday",2012-02-13,11314.5,"orange","Average",4085
"3057","Tuesday",2012-02-14,11016,"orange","Average",4042.5
"3058","Wednesday",2012-02-15,11861,"orange","Average",4233
"3059","Thursday",2012-02-16,10822,"orange","Average",4094
"3060","Friday",2012-02-17,13627.5,"orange","Average",4914.5
"3061","Saturday",2012-02-18,9950.5,"orange","Average",3885.5
"3062","Sunday",2012-02-19,6544,"orange","Average",2726.5
"3063","Monday",2012-02-20,9760,"orange","Average",3748
"3064","Tuesday",2012-02-21,11677,"orange","Average",4296
"3065","Wednesday",2012-02-22,11931.5,"orange","Average",4291.5
"3066","Thursday",2012-02-23,11236.5,"orange","Average",4139
"3067","Friday",2012-02-24,12819.5,"orange","Average",4518
"3068","Saturday",2012-02-25,9600.5,"orange","Average",3550
"3069","Sunday",2012-02-26,6637.5,"orange","Average",2452.5
"3070","Monday",2012-02-27,11241,"orange","Average",4166
"3071","Tuesday",2012-02-28,11242.5,"orange","Average",4128.5
"3072","Wednesday",2012-02-29,9657.5,"orange","Average",3449
"3073","Thursday",2012-03-01,11785.5,"orange","Average",4322
"3074","Friday",2012-03-02,12891,"orange","Average",4669
"3075","Saturday",2012-03-03,10003.5,"orange","Average",3999
"3076","Sunday",2012-03-04,5946,"orange","Average",2381.5
"3077","Monday",2012-03-05,11304,"orange","Average",4197
"3078","Tuesday",2012-03-06,11433.5,"orange","Average",4109
"3079","Wednesday",2012-03-07,11805,"orange","Average",4270.5
"3080","Thursday",2012-03-08,11905,"orange","Average",4223.5
"3081","Friday",2012-03-09,12977.5,"orange","Average",4704
"3082","Saturday",2012-03-10,9714,"orange","Average",3750.5
"3083","Sunday",2012-03-11,4534,"orange","Average",1737
"3084","Monday",2012-03-12,10751,"orange","Average",3934
"3085","Tuesday",2012-03-13,11697,"orange","Average",4335.5
"3086","Wednesday",2012-03-14,12221.5,"orange","Average",4526.5
"3087","Thursday",2012-03-15,12047,"orange","Average",4343.5
"3088","Friday",2012-03-16,14054.5,"orange","Average",5116.5
"3089","Saturday",2012-03-17,13048,"orange","Average",5208.5
"3090","Sunday",2012-03-18,6057,"orange","Average",2194.5
"3091","Monday",2012-03-19,11858,"orange","Average",4469.5
"3092","Tuesday",2012-03-20,11667,"orange","Average",4407
"3093","Wednesday",2012-03-21,11901,"orange","Average",4129
"3094","Thursday",2012-03-22,12375,"orange","Average",4594
"3095","Friday",2012-03-23,15521.5,"orange","Average",5505
"3096","Saturday",2012-03-24,8672,"orange","Average",3330.5
"3097","Sunday",2012-03-25,6508.5,"orange","Average",2511.5
"3098","Monday",2012-03-26,12167.5,"orange","Average",4588.5
"3099","Tuesday",2012-03-27,11885.5,"orange","Average",4228
"3100","Wednesday",2012-03-28,12083,"orange","Average",4444.5
